year,race,driver,team,quali_position,quali_time_sec,delta_to_pole,avg_race_pace,median_race_pace,stint_count,pit_stops,final_position,fp2_avg_pace,fp2_med_pace,fp2_laps,sprint_avg_pace,sprint_med_pace,sprint_laps,pace_fp2sprint_avg,pace_fp2sprint_med,pace_fp2sprint_laps,quali_normalized,pace_ratio,pace_fp2sprint_ratio,race_variability
2024,Saudi Arabian Grand Prix,STR,Aston Martin,10.0,88.572,1.1000000000000083,97.1216,95.79,1.0,0,19,91.952875,90.714,8.0,96.9850833325,96.95150000000001,18.0,91.952875,90.714,8.0,0.5,1.0139012423008664,1.0136569327777412,0.013901242300866421
2024,Saudi Arabian Grand Prix,BEA,Ferrari,11.0,88.642,1.1700000000000017,96.0482448979592,93.808,2.0,1,7,88.4846,88.666,5.0,96.9850833325,96.95150000000001,18.0,88.642,88.642,88.642,0.55,1.0238811710937146,1.0,0.023881171093714678
2024,Saudi Arabian Grand Prix,ALB,Williams,12.0,88.98,1.5080000000000098,96.97232653061224,95.441,2.0,1,11,93.250583333,94.565,12.0,96.9850833325,96.95150000000001,18.0,93.250583333,94.565,12.0,0.6,1.016044745241691,0.9861003894992861,0.016044745241691027
2024,Saudi Arabian Grand Prix,MAG,Haas F1 Team,13.0,89.02,1.5480000000000018,96.91802040816329,95.553,2.0,1,12,90.9335,90.539,4.0,96.9850833325,96.95150000000001,18.0,90.9335,90.539,4.0,0.65,1.0142854793482496,1.0043572383171893,0.014285479348249551
2024,Saudi Arabian Grand Prix,RIC,RB,14.0,89.025,1.5530000000000117,97.29741666666666,95.674,2.0,1,16,92.351,90.907,7.0,96.9850833325,96.95150000000001,18.0,92.351,90.907,7.0,0.7,1.0169682114959828,1.0158843653404028,0.016968211495982783
2024,Saudi Arabian Grand Prix,HUL,Haas F1 Team,15.0,89.055,1.5830000000000126,95.76462499999998,94.7145,2.0,1,10,91.8886,91.759,5.0,96.9850833325,96.95150000000001,18.0,91.8886,91.759,5.0,0.75,1.0110872675250355,1.0014123955143364,0.011087267525035555
2024,Saudi Arabian Grand Prix,BOT,Kick Sauber,16.0,89.179,1.7070000000000078,97.68866666666666,95.721,3.0,2,17,91.09075,90.945,4.0,96.9850833325,96.95150000000001,18.0,91.09075,90.945,4.0,0.8,1.0205562694358257,1.0016026169662984,0.020556269435825565
2024,Saudi Arabian Grand Prix,OCO,Alpine,17.0,89.475,2.003,97.31054166666668,95.434,2.0,1,13,91.682125,90.8515,8.0,96.9850833325,96.95150000000001,18.0,91.682125,90.8515,8.0,0.85,1.0196632402148782,1.009142666879468,0.01966324021487816
2024,Saudi Arabian Grand Prix,GAS,Alpine,18.0,89.479,2.007000000000005,121.453,121.453,1.0,0,20,90.982714285,90.68,7.0,96.9850833325,96.95150000000001,18.0,90.982714285,90.68,7.0,0.9,1.0,1.0033382695743271,0.0
2024,Saudi Arabian Grand Prix,SAR,Williams,19.0,89.526,2.054000000000002,97.349375,95.6215,2.0,1,14,90.462,90.442,4.0,96.9850833325,96.95150000000001,18.0,90.462,90.442,4.0,0.95,1.0180699424292654,1.0002211361977844,0.018069942429265358
